X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-76.965879440133492,38.924263155998517,1202,Ward 5,"2619 Bladensburg Road Northeast, Washington, District of Columbia 20018",Dianes House,Under Construction,DHCD,42,38.924216,-76.965964,39,3,0,0,0,,45760,402958.94,139598.4,2619 BLADENSBURG ROAD NE,2019-12-30T04:00:25.000Z
-77.00146560391326,38.907866293206268,1203,Ward 5,"320 Florida Avenue Northeast, Washington, District of Columbia 20002",The Highline at Union Market,Completed 2015 to Date,DHCD OP,27,38.907859,-77.001463,0,7,0,20,0,15-01,287746,399873.08,137777.66,320 FLORIDA AVENUE NE,2019-12-30T04:00:25.000Z
-77.024935341728252,38.921084186384171,1204,Ward 1,"2323 Sherman Avenue Northwest, Washington, District of Columbia 20001",Sherman Avenue Apartments,Completed 2015 to Date,DHCD OP,27,38.921219,-77.024991,0,0,4,23,0,14-21,232313,397837.85,139245.25,2323 SHERMAN AVENUE NW,2019-12-30T04:00:25.000Z
-76.999089092875479,38.894273406514742,1205,Ward 6,"504 C St NE, Washington, District of Columbia 20002",504 C St NE,Completed 2015 to Date,DHCD,1,38.894266,-76.999087,0,0,0,1,0,,14477,400079.22,136268.74,504 C STREET NE,2019-12-30T04:00:25.000Z
-77.001796284546899,38.907387789586068,1206,Ward 6,"301 Florida Ave NE, Washington, District of Columbia 20002",301 Florida Ave NE,Under Construction,DHCD OP,4,38.90738,-77.001794,0,2,0,2,0,15-22,,399844.397606385,137724.542713331,,2019-12-30T04:00:25.000Z
-77.023530786499236,38.92945320596553,1208,Ward 1,"3110 Georgia Ave NW, Washington, District of Columbia 20010",3110 & 3112 Georgia Ave. NW,Under Construction,DHCD,1,38.929446,-77.023528,0,1,0,0,0,,232888,397959.89,140174.25,3110 GEORGIA AVENUE NW,2019-12-30T04:00:25.000Z
-77.041208134398943,38.910255164766291,1209,Ward 2,"1772 Church St NW, Washington, District of Columbia 20036",St. Thomas,Completed 2015 to Date,DHCD,7,38.910213,-77.041041,0,2,3,2,0,,225918,396426.16,138043.65,1772 CHURCH STREET NW,2019-12-30T04:00:25.000Z
-77.023571929533006,38.908433161650251,1210,Ward 6,"810 O St NW, Washington, District of Columbia 20001",The Perla,Under Construction,DHCD OP,6,38.908298,-77.023668,0,4,0,2,0,16-07,279953,397955.72,137840.85,810 O STREET NW,2019-12-30T04:00:25.000Z
-77.011841635135966,38.870900186675954,1212,Ward 6,"1550 1st St SW, Washington, District of Columbia 20024",1550 1st St SW,Under Construction,DCHA DCHFA DHCD OP,76,38.870893,-77.011839,16,60,0,0,0,17-13,60745,398972.59,133674.2,1550 1ST STREET SW,2019-12-30T04:00:25.000Z
-77.011823289680748,38.864501964591412,1585,Ward 6,"88 v Street Southwest, Washington, District of Columbia 20024",88 V St SW,Under Construction,DHCD,8,,-77.011821,0,0,0,8,0,,314966,398974.09,132963.95,88 V STREET SW,2019-12-30T04:00:25.000Z
-76.969824623111933,38.870192071317632,1586,Ward 7,"1614 26th Pl SE, Washington, District of Columbia 20020",26th Place Flats,Under Construction,DHCD,2,38.870184,-76.969822,0,1,0,1,0,,313248,402618.82,133595.96,1614 26TH PLACE SE,2019-12-30T04:00:25.000Z
-76.918948257951158,38.894443790057828,1587,Ward 7,"5701 Dix Street Northeast, Washington, District of Columbia 20019",Turner Flats at Beulah Crossing,Under Construction,DHCD,4,38.894436,-76.918946,0,2,0,2,0,,,407031.484689975,136290.774776005,,2019-12-30T04:00:25.000Z
-76.990804990122939,38.926712542378219,1588,Ward 5,"2900 12th Street Northeast, Washington, District of Columbia 20017",Aramko condominium,Under Construction,DHCD,2,38.926646,-76.990817,0,1,0,1,0,,43833,400797.51,139869.79,2900 12TH STREET NE,2019-12-30T04:00:25.000Z
